Date,ABEV3.SA,B3SA3.SA,BBAS3.SA,BRFS3.SA,CMIG4.SA,CRFB3.SA,CSNA3.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MRFG3.SA,PETR3.SA,PETR4.SA,RAPT4.SA,VALE3.SA
2023-05-11,13.6508,12.1557,19.5002,7.4575,7.6133,9.576,11.0381,23.8881,16.4525,14.4859,5.7261,20.5946,18.3151,9.1294,56.4148
2023-05-12,13.6038,12.2033,19.4256,7.3779,7.5206,9.7127,10.995,23.6682,16.5598,14.4003,5.5897,21.3189,18.9056,9.314,56.4729
2023-05-15,13.7638,12.3649,19.5178,7.2783,7.6381,9.8981,11.2018,23.7562,17.3114,14.8455,5.6324,20.8946,18.4807,9.3417,57.2858
2023-05-16,13.745,12.1842,18.9556,6.6112,7.533,9.4101,10.9347,23.677,17.0058,14.5373,5.3,21.3628,18.9416,9.2125,56.1079
2023-05-17,13.7073,12.6693,18.9864,7.109,7.3847,9.6443,11.4087,23.9145,17.2041,15.9413,5.3597,21.2311,18.4807,9.3509,57.966
2023-05-18,13.6979,12.831,18.9732,7.9255,7.397,9.6736,11.4776,23.8265,17.7987,16.1382,5.5897,21.3262,18.5887,9.4248,58.0489
2023-05-19,13.7261,12.8976,19.3421,8.1545,7.4897,9.8591,11.5465,23.633,18.1539,16.6177,5.888,21.4287,18.5599,9.5817,57.4102
2023-05-22,13.7638,12.7359,19.0874,8.1146,7.4527,9.8591,11.5465,23.1845,18.0795,16.2067,5.9221,21.1068,18.4519,9.5632,56.4894
2023-05-23,13.7356,12.5647,19.5354,7.7164,7.4156,9.6443,11.2966,23.3692,17.9722,15.9413,5.6153,21.5457,18.9056,9.5817,55.212
2023-05-24,13.8015,12.2318,19.5924,7.2882,7.4156,9.5077,10.8658,23.2372,17.5922,15.7444,5.479,21.7798,19.1937,9.5817,53.9595
2023-05-25,13.8768,12.5362,19.6144,7.4973,7.4403,9.6053,10.6159,23.9672,17.6005,16.6947,5.479,21.6189,19.0497,9.7109,53.7936
2023-05-26,13.8956,12.9927,19.5002,7.567,7.4341,9.5662,10.7624,23.7825,17.7987,17.1571,5.4705,21.9774,19.3018,9.8586,55.0212
