Date,AAPL,AMGN,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-04-19,165.9564,231.1525,160.8631,208.71,216.9063,45.232,157.0939,97.545,319.5161,282.2162,116.793,30.4033,152.7793,134.4554,59.9202,278.0828,107.8929,283.9342,121.7058,36.0137,143.9382,175.4927,471.2706,229.0505,33.6624,30.4332,48.7344
2023-04-20,164.9861,228.5706,159.2344,207.23,214.6083,43.8574,156.33,96.8733,321.2422,283.794,116.83,30.1202,153.7663,134.065,60.1836,277.825,107.9307,281.6307,120.5243,35.6646,144.4659,172.311,472.4919,231.0498,32.4327,30.9051,49.0463
2023-04-21,163.3724,228.9461,159.722,205.15,213.8317,44.2811,155.6581,98.355,324.0401,285.1913,116.2475,29.5736,152.9297,133.8079,60.2683,278.837,109.0652,281.2863,121.5702,35.9868,149.465,172.5417,468.9637,230.5081,32.5461,30.8177,49.2932
2023-04-24,163.6793,229.5001,156.6111,205.77,216.8994,44.62,157.8302,98.4636,326.2215,286.7121,115.9424,28.949,153.8603,133.9888,60.1742,279.9255,109.604,277.3587,123.081,35.7183,149.7331,172.186,473.9265,229.2376,32.3542,31.0187,49.6278
2023-04-25,162.1349,229.8944,152.2518,202.19,212.2397,44.3376,155.5384,96.814,321.9725,281.6649,116.3955,28.1877,155.2703,131.0754,60.0801,278.3119,110.1618,271.1081,120.7277,35.1992,149.7714,170.4462,476.8149,226.1156,32.5286,30.4857,49.2412
2023-04-26,162.125,224.1956,151.8618,203.03,209.871,43.8197,152.768,95.4311,319.2031,273.8137,116.3585,28.3536,152.8639,128.7523,59.7978,276.6412,107.2312,290.7458,119.9335,34.5727,148.038,169.7637,468.1204,224.6974,32.1973,30.4158,49.0268
2023-04-27,166.7286,225.6414,154.5241,206.04,208.0653,43.8386,153.6608,98.7106,323.9832,279.3837,117.394,29.1442,153.2211,130.4851,59.9202,281.3766,108.8666,300.0577,121.7349,34.6712,149.8481,173.2626,475.4095,225.5444,33.8281,30.6692,49.1795
2023-04-28,167.9859,225.0781,157.3425,206.78,212.4047,44.4882,155.1611,101.2492,325.7283,285.6665,116.8763,30.3154,153.8791,131.6181,60.3624,282.36,109.1597,302.4496,122.7227,34.8054,149.7618,174.1181,476.9797,229.208,33.8629,30.8002,49.0463
2023-05-01,167.8968,224.2895,155.3726,203.87,210.9194,44.573,153.9277,100.9627,323.0063,282.9671,116.5804,29.5736,153.7851,134.4364,60.5036,284.1071,109.9821,300.7763,123.8848,35.0918,149.9438,174.7141,480.4789,228.9914,33.7583,30.241,49.2477
2023-05-02,166.8573,221.5387,149.4529,203.25,208.8614,43.6502,147.3008,99.3724,316.1776,279.7163,115.7205,29.0563,155.1293,132.2655,60.2307,284.5749,111.4474,300.6286,123.2457,34.9576,149.8097,173.5317,478.2398,223.5451,32.8513,29.2711,49.1145
2023-05-03,165.7782,215.286,148.4387,200.93,209.337,43.2736,144.3463,99.6292,311.701,278.5757,114.1395,29.9152,153.0989,129.4664,59.8919,281.854,111.7594,299.6345,122.7421,34.4117,149.6182,172.2052,474.411,222.5602,33.1217,27.9255,48.9326
2023-05-04,164.1347,217.7082,145.1229,197.05,204.2308,43.0288,143.7849,96.2608,304.6921,271.6085,113.3259,30.616,152.4033,127.6955,59.9578,281.7967,110.9559,300.6286,119.7689,34.2148,148.9287,172.1956,472.3174,222.1859,32.5723,27.5673,49.0695
2023-05-05,171.8371,222.0645,148.8678,198.34,208.8031,43.5467,147.4573,99.2934,310.1551,275.2869,114.3244,30.371,152.9203,130.19,60.2401,283.1715,111.2489,305.7866,122.5968,34.4475,149.4267,175.2331,479.1025,228.2724,32.9909,28.109,49.4935
2023-05-08,171.7678,220.2712,149.2481,197.26,208.5119,43.6314,146.8774,101.7135,309.6714,273.6805,114.0933,30.1553,152.5725,130.5042,60.146,283.2574,111.9107,303.8179,122.8776,34.6085,148.7276,175.4927,477.4934,228.7156,32.9909,27.6634,49.8033
2023-05-09,170.055,220.0929,149.5797,201.88,207.2499,43.7538,146.4541,100.9331,308.0212,276.1994,113.5591,29.4987,151.3881,129.8758,59.6473,283.2288,111.0126,302.1938,121.1538,34.4385,147.2049,176.6269,475.3222,229.73,32.7641,27.4712,49.8881
2023-05-10,171.8272,219.7924,144.9962,200.84,206.9392,43.9798,144.5856,99.9058,305.9156,274.7261,114.3557,29.3713,151.9521,129.9424,59.7508,283.1429,111.4569,307.4205,119.6139,34.2774,147.5113,176.0598,475.0218,227.7702,32.8164,27.6022,49.7478
