Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0007.HK,0011.HK,0012.HK,0016.HK,0017.HK,0070.HK,1072.HK,2208.HK,600941.SS
2023-07-14,44.1126,56.1064,6.0306,18.0364,56.4647,36.8333,0.18,98.0114,21.2096,87.8771,18.0613,0.046,10.6489,4.9573,89.1681
2023-07-17,43.8814,55.9461,5.9844,17.7579,56.5322,36.8333,0.18,97.3485,21.0283,87.1557,17.8214,0.046,10.5628,4.962,89.1027
2023-07-18,43.6502,55.7858,5.9381,17.4794,56.5996,36.8333,0.18,96.6857,20.847,86.4343,17.5815,0.046,10.4768,4.9667,88.9437
2023-07-19,43.4653,55.74,5.9474,17.5946,56.8693,36.7427,0.185,96.5089,20.8017,86.2088,17.236,0.047,10.4194,4.9102,89.0746
2023-07-20,43.6502,56.1522,5.9844,17.7291,57.3638,36.6521,0.185,97.7462,20.8923,87.2008,17.5239,0.047,10.2856,4.9697,88.5509
2023-07-21,43.9739,56.656,5.9381,18.1324,57.8134,36.9692,0.174,101.7232,21.0283,88.1476,17.639,0.055,10.0562,4.902,88.6538
2023-07-24,43.6502,56.2438,5.8919,17.5754,57.2739,36.6068,0.174,100.1324,20.6204,86.6146,17.3511,0.055,10.0562,4.8827,90.2903
2023-07-25,44.2051,56.3354,5.9844,17.9596,57.9932,36.6974,0.178,102.0768,21.2549,87.2459,18.234,0.053,10.0944,5.0567,89.3084
2023-07-26,44.2513,57.3431,6.0398,17.7675,58.1281,36.9239,0.165,101.9884,21.2096,87.8771,18.234,0.051,10.0371,5.0277,88.4667
2023-07-27,44.8987,57.4805,6.1601,18.0556,58.3978,37.3317,0.18,103.4908,21.6628,89.3199,18.6563,0.051,10.0944,5.0857,88.0927
2023-07-28,44.8062,58.1675,6.1786,17.7099,58.263,37.241,0.18,103.9327,21.9347,89.4552,18.5603,0.052,9.8077,5.1921,88.8969
2023-07-31,44.4825,58.1217,6.1693,17.537,58.6226,36.9692,0.179,104.9048,21.7534,87.9673,18.4068,0.053,9.9415,5.1631,87.6719
2023-08-01,44.2513,58.5797,6.1878,17.2489,59.6117,37.4223,0.175,102.2535,21.3908,87.8771,18.234,0.05,9.865,5.0857,88.1768
2023-08-02,43.419,57.1141,5.9936,16.9031,57.7235,36.5615,0.167,98.0114,20.9377,86.6146,17.7158,0.05,9.7121,5.047,87.3352
2023-08-03,42.8179,57.3431,5.9751,16.7879,56.5546,36.7427,0.168,96.3322,20.847,86.5695,17.5047,0.049,9.6165,5.047,87.5596
2023-08-04,40.8296,56.7934,5.9011,16.7302,57.4088,36.1537,0.16,95.0949,20.7564,84.225,17.14,0.049,9.5782,5.0374,90.627
2023-08-07,40.9683,57.4805,5.9196,16.8455,57.4987,36.8786,0.155,95.4484,20.8923,84.4955,17.14,0.049,9.5209,5.018,90.0752
2023-08-08,40.136,56.9308,5.8734,16.5766,57.5437,36.788,0.146,94.1227,20.6204,83.1428,16.6985,0.054,9.3871,4.8827,90.468
2023-08-09,39.9511,56.7934,5.9196,16.4805,57.4088,36.8333,0.146,94.2111,20.6204,82.6018,16.9097,0.05,9.2819,4.8633,89.9817
2023-08-10,39.9973,57.0224,5.9196,16.3077,56.9839,37.1051,0.15,93.946,20.6204,83.3232,16.8713,0.053,9.4444,4.844,91.16
2023-08-11,39.8123,57.2057,5.9474,16.519,56.9839,36.9239,0.159,94.2111,21.0283,83.6839,16.9481,0.051,9.2819,4.6506,91.6463
2023-08-14,39.3962,56.1522,5.7809,16.4421,56.7563,36.4255,0.157,93.6753,20.4391,82.2862,16.5642,0.048,9.129,4.641,93.1332
2023-08-15,39.3037,55.5568,5.7439,16.3845,55.7095,36.3349,0.163,92.5144,19.85,81.3393,16.4682,0.048,9.1098,4.67,93.1332
2023-08-16,38.8413,55.969,5.5496,15.7698,54.5716,36.1084,0.163,92.0679,19.4874,80.7532,16.5258,0.048,8.9282,4.6216,90.2342
2023-08-17,38.5639,55.511,5.4849,15.8659,53.9799,35.8819,0.162,91.5321,19.4874,80.3474,16.3723,0.051,9.062,4.699,90.0846
2023-08-18,38.0552,53.8622,5.4294,15.5778,53.3883,35.4741,0.15,91.0856,19.3515,79.671,16.1803,0.056,8.8995,4.5443,88.2891
2023-08-21,37.5004,53.6332,5.4016,15.1936,53.2517,34.6133,0.15,88.0941,18.8529,78.4086,16.1611,0.056,8.7275,4.3992,91.0478
2023-08-22,37.9165,53.679,5.3831,15.3665,53.2972,34.6133,0.151,88.1387,18.8529,78.634,16.0652,0.056,8.8517,4.0512,93.9375
2023-08-23,37.9628,53.5416,5.4109,15.8083,53.1607,34.7039,0.158,87.9601,19.1702,79.2201,16.0843,0.056,8.8517,3.9642,92.7779
2023-08-24,38.3789,54.0912,5.4109,16.2308,53.5703,34.9758,0.157,87.6029,19.4421,80.5277,16.6218,0.056,9.1768,3.9642,91.637
2023-08-25,37.9628,53.9538,5.3924,16.0388,53.1607,35.157,0.147,86.9778,19.2608,79.9416,15.6621,0.052,9.2341,3.9545,91.2629
2023-08-28,38.2402,54.6866,5.3924,15.8467,53.4793,35.5648,0.144,87.1118,19.2608,79.4005,15.2206,0.053,9.1576,3.9255,92.1607
2023-08-29,39.0725,55.7858,5.4774,16.1967,53.2517,35.8366,0.143,89.121,19.5781,80.6179,15.854,0.05,9.2723,4.0705,91.9736
2023-08-30,39.2112,55.969,5.4491,16.3133,54.0255,36.7424,0.139,89.8354,19.8953,80.7081,16.3531,0.055,9.062,4.0512,92.2635
2023-08-31,39.5349,56.3354,5.4491,16.1578,53.5703,36.4407,0.131,89.2996,19.5327,79.6259,15.9884,0.055,8.651,3.9835,93.9655
2023-09-01,39.5142,56.1411,5.4821,16.3425,53.5248,36.7236,0.1335,89.8354,19.7183,80.5953,16.3435,0.053,8.7131,4.0367,92.6694
2023-09-04,39.4935,55.9467,5.5152,16.5272,53.4793,37.0064,0.136,90.3712,19.9039,81.5647,16.6985,0.051,8.7753,4.0898,93.7022
2023-09-05,39.164,55.2989,5.4302,16.3522,52.478,36.205,0.142,88.3173,19.5327,79.9416,16.2571,0.06,8.6988,3.9932,92.7555
2023-09-06,39.3523,54.9749,5.4207,16.9355,52.569,36.1579,0.151,88.0941,19.8575,80.3924,16.3914,0.06,8.6606,4.0415,91.8565
2023-09-07,38.9286,54.7898,5.3735,16.9161,52.1594,36.2522,0.17,86.6653,19.6255,79.6259,16.1611,0.06,8.412,3.9351,92.1051
