Date,ASIANPAINT.NS,BHARTIARTL.NS,BPCL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS
2023-05-03,2872.4834,771.4376,161.8755,1651.4027,2414.6731,900.062,1215.5464,404.7099,1927.249,2296.1426,8633.7363,1109.1798,550.3951,3081.0093,2627.8792
2023-05-04,2924.5957,781.1387,165.2629,1685.1984,2434.8276,898.9404,1219.7606,402.2939,1943.8671,2296.7273,8636.9746,1121.9669,559.5603,3120.5405,2644.0681
2023-05-05,2954.1077,779.3569,163.9618,1585.567,2428.9998,904.0607,1205.9208,406.2259,1925.0033,2316.8015,8782.2725,1119.1024,556.1837,3130.23,2705.9517
2023-05-08,2960.4805,785.7418,164.9713,1603.9033,2444.1035,914.7404,1212.1462,408.7841,1955.0956,2305.0103,8907.499,1132.9209,563.0334,3149.5112,2724.1206
2023-05-09,2975.531,785.5933,164.6796,1603.9523,2443.6182,911.3268,1217.0308,401.5359,1950.5543,2313.7319,8942.1436,1136.4269,553.2894,3181.1455,2721.2988
2023-05-10,2982.002,788.0186,166.9678,1611.3647,2450.3201,912.936,1209.8955,403.0045,1954.9458,2304.0845,8997.6914,1144.2413,552.0352,3184.5852,2718.3779
2023-05-11,3078.4314,780.6437,167.1472,1612.4377,2518.0203,916.0082,1203.0475,398.3145,1954.1973,2184.907,9088.7178,1136.7706,553.2412,3180.0798,2730.656
2023-05-12,3069.9502,783.96,162.3691,1626.6777,2548.1304,920.5922,1192.6077,398.3619,1956.8423,2164.3945,9122.5752,1138.6268,557.7756,3172.4741,2745.8545
2023-05-15,3070.8325,789.0085,160.1706,1634.4805,2585.8662,922.3965,1205.2025,405.3257,1969.2185,2189.4873,9036.1123,1140.8727,561.3934,3153.8225,2752.1418
2023-05-16,3076.8137,779.4064,162.5485,1625.1085,2599.1243,922.9817,1210.9011,401.6781,1943.3182,2170.3386,8902.6904,1124.6252,565.6383,3156.8262,2762.7363
2023-05-17,3032.0552,784.257,163.6477,1616.3776,2585.3806,916.1545,1194.236,405.1363,1905.4908,2162.9329,8949.8486,1117.9795,565.6383,3108.9141,2735.1609
2023-05-18,3048.3311,791.2853,161.8307,1622.8394,2552.1619,923.1281,1193.374,397.6513,1923.7059,2132.3345,8884.9766,1115.5735,553.9648,3100.3394,2695.0107
2023-05-19,3024.2112,797.6208,161.6512,1624.7139,2565.6628,930.7354,1215.3069,397.7934,1937.9286,2134.1372,8936.6475,1119.1941,554.8813,3122.6238,2675.01
2023-05-22,3024.6526,793.7601,162.2345,1618.9426,2562.4092,926.8829,1238.1974,402.436,1936.4813,2160.0095,8986.4053,1125.1752,556.8108,3196.1152,2685.8027
2023-05-23,3059.6553,791.8793,164.4777,1615.1444,2552.8901,929.8577,1245.1411,406.6049,1917.8173,2141.543,9029.6357,1124.9689,561.1039,3194.5166,2656.9893
2023-05-24,3040.9285,793.3147,162.9972,1594.0328,2539.9231,917.4225,1243.8004,410.7263,1906.6886,2129.3621,9098.3838,1118.4149,562.1652,3200.6208,2680.5547
2023-05-25,3062.5479,814.3998,162.9972,1587.9163,2522.731,916.6422,1249.2596,417.9744,1926.251,2148.4131,9109.2773,1118.2775,560.7663,3191.0769,2681.2478
2023-05-26,3067.303,809.6977,163.4458,1594.0328,2576.2502,927.2242,1261.8062,420.2957,1941.322,2161.812,9225.1816,1148.7787,565.3489,3225.3757,2715.1106
2023-05-29,3076.1272,812.9644,162.2793,1613.4674,2574.259,924.7373,1258.885,425.5068,1949.4563,2167.7563,9159.9668,1155.241,574.0317,3217.0923,2784.5193
2023-05-30,3082.9907,810.1927,161.696,1614.7006,2580.3298,926.4928,1267.936,428.891,1970.9152,2154.3574,9208.8896,1154.943,571.9093,3213.0708,2774.8655
2023-05-31,3130.5923,841.3254,163.0869,1589.1494,2591.0142,925.7126,1262.6204,424.6965,2010.4893,2149.3386,9193.5312,1132.004,570.2864,3187.2012,2795.4109
2023-06-01,3177.4099,819.5968,163.558,1582.3917,2620.4934,912.9848,1263.7698,419.1673,1926.3508,2151.4341,9154.8633,1128.9562,573.1387,3220.6284,2799.3716
2023-06-02,3174.0273,828.0605,161.539,1584.858,2638.7539,914.9842,1260.8577,422.6945,1935.0342,2177.501,9308.9932,1125.2667,577.5153,3202.8008,2833.4324
2023-06-05,3137.2595,826.0807,160.0809,1582.7864,2618.4536,923.3718,1266.1963,420.073,1921.2107,2210.3894,9403.9443,1135.3728,577.5153,3186.6199,2827.541
2023-06-06,3150.0059,821.0817,159.7893,1577.8538,2613.9368,918.8366,1241.4451,422.1226,1955.2953,2219.7932,9555.1797,1136.3352,575.6957,3131.7803,2853.0369
2023-06-07,3161.8203,835.7323,165.1507,1586.0419,2638.2681,916.9836,1251.1029,423.2189,1935.6829,2256.3845,9527.0127,1144.9518,579.4823,3173.0554,2878.2856
2023-06-08,3149.5154,827.5656,162.0101,1587.0283,2603.0095,914.7404,1245.1335,422.2179,1882.8842,2280.5513,9479.0215,1145.6392,578.7938,3135.801,2848.6309
