Date,ALFA.ST,ASSA-B.ST,ATCO-A.ST,AXFO.ST,CAST.ST,ERIC-B.ST,HM-B.ST,KINV-B.ST,LIAB.ST,NWG.ST,SAAB-B.ST,SAND.ST,SWED-A.ST,TEL2-B.ST,VOLV-B.ST
2023-05-19,391.82,245.1623,153.6462,228.142,100.45,51.1161,135.7801,164.5,171.611,139.8618,148.1839,201.683,143.8862,91.1165,195.9046
2023-05-22,388.6712,244.0913,151.8869,226.3603,102.25,51.3828,136.6656,165.2,169.7843,140.4438,149.0258,200.2194,144.7844,90.2612,196.657
2023-05-23,384.8337,240.0994,148.857,227.8606,108.9,51.4563,135.4599,164.5,170.6496,139.6679,144.6675,196.9995,146.8374,91.1165,195.4814
2023-05-24,378.0443,236.8864,147.342,226.3603,104.35,50.7483,131.6541,159.25,165.1696,137.3401,142.835,192.7063,144.7416,92.0169,189.6033
2023-05-25,381.8818,235.1339,151.2516,221.6718,102.9,51.3368,129.5629,154.4,166.131,137.728,142.6864,190.5109,144.2711,89.838,189.086
2023-05-26,388.0808,239.5152,157.3603,221.5781,102.3,52.2195,130.5238,153.0,169.9766,139.0859,145.8066,193.5357,145.6826,91.8818,191.9075
2023-05-29,385.9161,238.6389,154.9168,225.9852,99.8,52.4218,129.3745,152.95,169.3036,138.504,148.1839,193.0966,145.0838,91.4766,192.0956
2023-05-30,386.5065,238.2495,156.0897,227.8606,101.4,52.3483,129.5064,154.75,166.6117,139.2799,145.559,191.1939,143.2446,90.5313,190.2146
2023-05-31,383.5545,234.4523,154.477,219.4214,101.6,51.6034,127.5847,155.75,165.2657,137.728,146.3019,186.0226,142.047,88.7756,188.3336
2023-06-01,384.5385,237.2758,153.6462,220.9217,102.35,51.9069,130.9948,156.25,162.4777,138.8919,147.7381,189.4376,145.4687,88.4694,190.7789
2023-06-02,390.6392,241.9493,156.1874,221.6718,108.35,51.9713,134.0845,160.9,166.2271,143.3535,147.7381,198.3655,149.0188,85.4622,195.4814
2023-06-05,391.1312,242.144,156.1386,224.7662,110.05,52.0908,132.5208,158.85,169.2075,142.3836,145.559,198.951,149.0188,86.0925,197.0332
2023-06-07,393.9847,248.6674,154.7702,223.1721,113.0,52.008,135.7236,157.95,172.957,143.5475,141.1511,202.8539,153.0822,85.4442,199.6666
2023-06-08,394.3783,249.8358,155.8453,223.3597,110.85,51.8977,135.0077,159.75,162.9584,143.5475,143.9741,205.8786,151.6707,84.5619,200.9832
2023-06-09,388.9664,249.1542,155.4544,225.6102,112.3,52.054,134.9135,158.7,161.324,145.4874,144.717,201.9757,153.3816,84.922,200.3249
2023-06-12,391.4264,251.6857,155.6988,225.4226,109.35,51.9529,136.5714,155.95,160.5548,147.4272,145.7075,202.0733,151.4141,84.6159,201.5475
2023-06-13,384.7353,254.8014,158.7775,222.6095,108.8,52.5689,137.0612,156.3,167.3808,146.8452,145.3609,206.4641,151.7135,83.5715,205.0274
2023-06-14,384.9321,253.2435,159.1685,225.3288,108.45,52.3574,137.1555,153.0,162.3815,145.2934,142.6864,208.5131,150.0026,83.2113,206.0149
2023-06-15,383.2593,246.5254,156.334,229.2672,107.7,52.5597,142.1857,150.75,158.4398,138.116,144.0732,207.7325,152.9967,83.2473,207.0494
