Date,4503.T,4523.T,4578.T,4661.T,6758.T,6762.T,6954.T,7203.T,7974.T,8035.T,8053.T,8306.T,8308.T,8316.T,9432.T,9984.T
2023-06-28,2016.0948,9079.1094,5162.7183,5653.9556,2607.532,1099.0,4890.9629,2176.176,6308.2202,19693.7227,2874.6333,971.7549,648.9561,1965.4072,165.4765,6576.6538
2023-06-29,1982.5315,9208.7705,5145.1973,5606.2754,2585.7366,1105.6,4873.519,2171.9185,6368.2065,20214.2852,2844.9307,1002.2984,659.5712,1989.9949,160.7808,6662.6938
2023-06-30,1976.0946,9203.0918,5130.5972,5563.5635,2568.8945,1113.4,4876.4263,2184.2185,6329.5054,20005.0859,2822.6538,1000.8888,660.145,1992.5833,160.1234,6698.2964
2023-07-03,1971.9568,9328.0215,5149.0908,5655.9414,2641.2158,1150.0,4985.9321,2200.3035,6373.0439,20793.2246,2858.8538,1020.1547,661.0057,2008.1123,160.7808,6758.6245
2023-07-04,1915.8646,9250.4131,5079.9819,5638.062,2614.467,1150.0,4847.3535,2212.1301,6307.2529,20812.6836,2831.0076,1044.1195,686.6349,2080.2581,159.3721,6776.4258
2023-07-05,1916.3243,9371.5566,5131.5703,5611.2427,2637.2532,1142.2,4805.6831,2214.9688,6300.4795,20739.709,2830.0796,1030.0226,683.0966,2073.4641,158.433,6862.4663
2023-07-06,1886.8992,9314.7705,5185.1055,5574.4897,2604.5601,1096.0,4685.5171,2201.7227,6108.9111,19927.2461,2795.7361,1010.7567,679.1757,2032.0531,156.8364,6731.9219
2023-07-07,1895.175,8879.4111,5077.062,5531.7769,2576.8203,1082.0,4606.0522,2175.7031,6144.7095,19659.668,2759.5364,993.8401,685.0092,2005.8478,156.0851,6649.8374
2023-07-10,1874.0255,8751.6445,5042.9937,5491.0513,2542.1458,1064.2,4600.2378,2138.3298,6100.2036,19362.9004,2741.9006,994.3101,695.2418,1982.5538,156.7425,6692.3633
2023-07-11,1884.6002,8375.9111,5036.1807,5530.7842,2511.4336,1057.8,4620.5884,2091.9678,6053.7622,19572.0977,2752.1108,988.6713,678.5062,1967.3483,153.0798,6676.5396
2023-07-12,1859.3129,8029.5181,4998.2197,5441.3853,2466.8523,1046.8,4563.4121,2079.6672,6095.3662,18920.1816,2687.6011,1005.1177,692.6597,2011.6713,153.0798,6818.9517
2023-07-13,1846.899,8223.5352,4987.5127,5546.6772,2577.8108,1074.2,4614.7739,2092.4409,6215.3379,19304.5195,2723.3367,998.0693,676.7849,2032.0531,153.1738,7019.7119
2023-07-14,1843.6807,8279.376,4961.2314,5547.6699,2550.0713,1077.6,4576.0107,2098.5908,6181.4751,19645.0723,2716.8391,994.3101,672.6728,2030.1121,152.6103,6878.2896
2023-07-18,1852.8762,8510.3047,5049.8076,5394.6997,2615.4578,1092.6,4581.8252,2119.4062,6153.417,19839.6758,2727.5134,1017.8052,687.3044,2072.4934,151.6711,6820.9297
